source_dataset,sample_name,split,sensor,image_path,mask_path,width,height,has_oil,oil_pixel_ratio
refined_sos,palsar_0,train,PALSAR,data/raw/images/images/train/palsar_0.png,data/raw/masks/masks/train/palsar_0.png,256,256,1,3.466797
refined_sos,palsar_1,train,PALSAR,data/raw/images/images/train/palsar_1.png,data/raw/masks/masks/train/palsar_1.png,256,256,1,6.048584
refined_sos,palsar_10,train,PALSAR,data/raw/images/images/train/palsar_10.png,data/raw/masks/masks/train/palsar_10.png,256,256,1,19.682312
refined_sos,palsar_100,train,PALSAR,data/raw/images/images/train/palsar_100.png,data/raw/masks/masks/train/palsar_100.png,256,256,1,9.956360
refined_sos,palsar_1000,train,PALSAR,data/raw/images/images/train/palsar_1000.png,data/raw/masks/masks/train/palsar_1000.png,256,256,1,9.945679
refined_sos,palsar_1001,train,PALSAR,data/raw/images/images/train/palsar_1001.png,data/raw/masks/masks/train/palsar_1001.png,256,256,1,13.055420
refined_sos,palsar_1002,train,PALSAR,data/raw/images/images/train/palsar_1002.png,data/raw/masks/masks/train/palsar_1002.png,256,256,1,2.467346
refined_sos,palsar_1003,train,PALSAR,data/raw/images/images/train/palsar_1003.png,data/raw/masks/masks/train/palsar_1003.png,256,256,1,3.752136
refined_sos,palsar_1004,train,PALSAR,data/raw/images/images/train/palsar_1004.png,data/raw/masks/masks/train/palsar_1004.png,256,256,1,12.281799
refined_sos,palsar_1005,train,PALSAR,data/raw/images/images/train/palsar_1005.png,data/raw/masks/masks/train/palsar_1005.png,256,256,1,31.878662
refined_sos,palsar_1006,train,PALSAR,data/raw/images/images/train/palsar_1006.png,data/raw/masks/masks/train/palsar_1006.png,256,256,1,26.445007
refined_sos,palsar_1007,train,PALSAR,data/raw/images/images/train/palsar_1007.png,data/raw/masks/masks/train/palsar_1007.png,256,256,0,0.000000
refined_sos,palsar_1008,train,PALSAR,data/raw/images/images/train/palsar_1008.png,data/raw/masks/masks/train/palsar_1008.png,256,256,1,3.175354
refined_sos,palsar_1009,train,PALSAR,data/raw/images/images/train/palsar_1009.png,data/raw/masks/masks/train/palsar_1009.png,256,256,1,19.125366
refined_sos,palsar_101,train,PALSAR,data/raw/images/images/train/palsar_101.png,data/raw/masks/masks/train/palsar_101.png,256,256,1,3.007507
refined_sos,palsar_1010,train,PALSAR,data/raw/images/images/train/palsar_1010.png,data/raw/masks/masks/train/palsar_1010.png,256,256,1,32.653809
refined_sos,palsar_1011,train,PALSAR,data/raw/images/images/train/palsar_1011.png,data/raw/masks/masks/train/palsar_1011.png,256,256,0,0.000000
refined_sos,palsar_1012,train,PALSAR,data/raw/images/images/train/palsar_1012.png,data/raw/masks/masks/train/palsar_1012.png,256,256,0,0.000000
refined_sos,palsar_1013,train,PALSAR,data/raw/images/images/train/palsar_1013.png,data/raw/masks/masks/train/palsar_1013.png,256,256,1,25.480652
refined_sos,palsar_1014,train,PALSAR,data/raw/images/images/train/palsar_1014.png,data/raw/masks/masks/train/palsar_1014.png,256,256,1,11.920166
refined_sos,palsar_1015,train,PALSAR,data/raw/images/images/train/palsar_1015.png,data/raw/masks/masks/train/palsar_1015.png,256,256,1,8.329773
refined_sos,palsar_1016,train,PALSAR,data/raw/images/images/train/palsar_1016.png,data/raw/masks/masks/train/palsar_1016.png,256,256,0,0.000000
refined_sos,palsar_1017,train,PALSAR,data/raw/images/images/train/palsar_1017.png,data/raw/masks/masks/train/palsar_1017.png,256,256,1,8.134460
refined_sos,palsar_1018,train,PALSAR,data/raw/images/images/train/palsar_1018.png,data/raw/masks/masks/train/palsar_1018.png,256,256,1,9.356689
refined_sos,palsar_1019,train,PALSAR,data/raw/images/images/train/palsar_1019.png,data/raw/masks/masks/train/palsar_1019.png,256,256,1,0.305176
