candidate_id,label,label_source,sample_id,group,image_path,crop_path,component_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,area_pixels,area_percent_total,verifier_probability,verifier_threshold,previously_accepted,segmentation_mean_probability,segmentation_peak_probability,safe_water_fraction,uncertain_fraction,hard_score,split_role
nc:nc-0324-04-000045:01,LOOK_ALIKE,DARTIS_NO_OIL_GROUP,nc:nc-0324-04-000045,nc,data/derived/v06_water_masks_homography/safe_water/nc/nc-0324-04-000045.png,data/mined/v07_lookalike_candidates/crops/nc__nc-0324-04-000045__cand_01.png,1,1,3,638,636,0,0,640,640,395033,96.443603515625,0.9999996423721313,0.17347800436047464,True,0.9763363599777222,1.0,0.96484130859375,0.02355712890625,4.494083803892136,MINED_TRAINING_CANDIDATE
nc:nc-0046-00-000046:01,LOOK_ALIKE,DARTIS_NO_OIL_GROUP,nc:nc-0046-00-000046,nc,data/derived/v06_water_masks_homography/safe_water/nc/nc-0046-00-000046.png,data/mined/v07_lookalike_candidates/crops/nc__nc-0046-00-000046__cand_01.png,1,1,1,638,637,0,0,640,640,396201,96.728759765625,0.9999996423721313,0.17347800436047464,True,0.9742301106452942,1.0,0.9673046875,0.01512939453125,4.493557241559029,MINED_TRAINING_CANDIDATE
nc:nc-0111-01-000035:01,LOOK_ALIKE,DARTIS_NO_OIL_GROUP,nc:nc-0111-01-000035,nc,data/derived/v06_water_masks/land/nc/nc-0111-01-000035.png,data/mined/v07_lookalike_candidates/crops/nc__nc-0111-01-000035__cand_01.png,1,1,1,638,637,0,0,640,640,395502,96.55810546875,0.9999985694885254,0.17347800436047464,True,0.9725533723831177,1.0,0.96563232421875,0.01456787109375,4.4931371986866,MINED_TRAINING_CANDIDATE
nc:nc-0293-04-000014:01,LOOK_ALIKE,DARTIS_NO_OIL_GROUP,nc:nc-0293-04-000014,nc,data/derived/v06_water_masks/safe_water/nc/nc-0293-04-000014.png,data/mined/v07_lookalike_candidates/crops/nc__nc-0293-04-000014__cand_01.png,1,1,1,638,637,0,0,640,640,395266,96.50048828125,0.9999996423721313,0.17347800436047464,True,0.9719142317771912,1.0,0.9650048828125,0.0141259765625,4.492978271842003,MINED_TRAINING_CANDIDATE
nc:nc-0230-02-000070:01,LOOK_ALIKE,DARTIS_NO_OIL_GROUP,nc:nc-0230-02-000070,nc,data/derived/v06_water_masks/safe_water/nc/nc-0230-02-000070.png,data/mined/v07_lookalike_candidates/crops/nc__nc-0230-02-000070__cand_01.png,1,1,1,639,639,0,0,640,640,390604,95.3623046875,0.9999990463256836,0.17347800436047464,True,0.9559682011604309,1.0,0.953623046875,0.0087841796875,4.488991287350655,MINED_TRAINING_CANDIDATE
nc:nc-0231-02-000071:01,LOOK_ALIKE,DARTIS_NO_OIL_GROUP,nc:nc-0231-02-000071,nc,data/derived/v06_water_masks/land/nc/nc-0231-02-000071.png,data/mined/v07_lookalike_candidates/crops/nc__nc-0231-02-000071__cand_01.png,1,1,1,639,638,0,0,640,640,379618,92.68017578125,0.9999994039535522,0.17347800436047464,True,0.9304845333099365,1.0,0.9268017578125,0.0134033203125,4.482620656490326,MINED_TRAINING_CANDIDATE
nc:nc-0038-00-000038:01,LOOK_ALIKE,DARTIS_NO_OIL_GROUP,nc:nc-0038-00-000038,nc,data/derived/v06_water_masks/safe_water/nc/nc-0038-00-000038.png,data/mined/v07_lookalike_candidates/crops/nc__nc-0038-00-000038__cand_01.png,1,1,1,639,639,0,0,640,640,378931,92.512451171875,0.9999948740005493,0.17347800436047464,True,0.9274304509162903,1.0,0.92512451171875,0.00978759765625,4.481853511929512,MINED_TRAINING_CANDIDATE
nc:nc-0314-04-000035:01,LOOK_ALIKE,DARTIS_NO_OIL_GROUP,nc:nc-0314-04-000035,nc,data/derived/v06_water_masks/land/nc/nc-0314-04-000035.png,data/mined/v07_lookalike_candidates/crops/nc__nc-0314-04-000035__cand_01.png,1,1,1,639,638,0,0,640,640,369382,90.18115234375,0.9999985694885254,0.17347800436047464,True,0.9054625034332275,1.0,0.9018115234375,0.0104052734375,4.476364481449128,MINED_TRAINING_CANDIDATE
nw:nw-0605-03-000102:01,LOOK_ALIKE,DARTIS_NO_OIL_GROUP,nw:nw-0605-03-000102,nw,data/derived/v06_water_masks/land/nw/nw-0605-03-000102.png,data/mined/v07_lookalike_candidates/crops/nw__nw-0605-03-000102__cand_01.png,1,1,0,640,640,0,0,640,640,368865,90.054931640625,0.9999996423721313,0.17347800436047464,True,0.9004963040351868,1.0,0.9026953125,0.0973046875,4.475123789906502,MINED_TRAINING_CANDIDATE
nw:nw-0283-01-000111:01,LOOK_ALIKE,DARTIS_NO_OIL_GROUP,nw:nw-0283-01-000111,nw,data/derived/v06_water_masks/land/nw/nw-0283-01-000111.png,data/mined/v07_lookalike_candidates/crops/nw__nw-0283-01-000111__cand_01.png,1,1,0,640,640,0,0,640,640,368865,90.054931640625,0.9999996423721313,0.17347800436047464,True,0.9004963040351868,1.0,0.9026953125,0.0973046875,4.475123789906502,MINED_TRAINING_CANDIDATE
