bbox,candidate_id,class_name,component_index,crop_box,crop_path,group,hard_negative_weight,height,label,scene_id,source_image_path,source_manifest,source_row_label,split_role,standard_deviation,unique_values,v07_decision,v07_probability,width
,OIL::oc-0001::oc-0001__obj_001,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0001__obj_001.png,oc,1.0,224.0,1,oc-0001,,data/metadata/dartis_positive_verifier_crops.csv,1,train,20.973801823510744,166.0,,,224.0
,OIL::oc-0001::oc-0001__obj_002,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0001__obj_002.png,oc,1.0,224.0,1,oc-0001,,data/metadata/dartis_positive_verifier_crops.csv,1,train,21.563998341740724,182.0,,,224.0
,OIL::oc-0001::oc-0001__obj_003,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0001__obj_003.png,oc,1.0,224.0,1,oc-0001,,data/metadata/dartis_positive_verifier_crops.csv,1,train,25.919386300645478,194.0,,,224.0
,OIL::oc-0001::oc-0001__obj_004,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0001__obj_004.png,oc,1.0,224.0,1,oc-0001,,data/metadata/dartis_positive_verifier_crops.csv,1,train,30.63654143057267,181.0,,,224.0
,OIL::oc-0001::oc-0001__obj_005,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0001__obj_005.png,oc,1.0,224.0,1,oc-0001,,data/metadata/dartis_positive_verifier_crops.csv,1,train,25.769872049890896,160.0,,,224.0
,OIL::oc-0002::oc-0002__obj_001,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0002__obj_001.png,oc,1.0,224.0,1,oc-0002,,data/metadata/dartis_positive_verifier_crops.csv,1,train,26.769305340959708,169.0,,,224.0
,OIL::oc-0002::oc-0002__obj_002,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0002__obj_002.png,oc,1.0,224.0,1,oc-0002,,data/metadata/dartis_positive_verifier_crops.csv,1,train,24.015183657053512,170.0,,,224.0
,OIL::oc-0003::oc-0003__obj_001,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0003__obj_001.png,oc,1.0,224.0,1,oc-0003,,data/metadata/dartis_positive_verifier_crops.csv,1,train,33.825906434956615,184.0,,,224.0
,OIL::oc-0004::oc-0004__obj_001,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0004__obj_001.png,oc,1.0,224.0,1,oc-0004,,data/metadata/dartis_positive_verifier_crops.csv,1,train,10.881765387375411,86.0,,,224.0
,OIL::oc-0004::oc-0004__obj_002,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0004__obj_002.png,oc,1.0,224.0,1,oc-0004,,data/metadata/dartis_positive_verifier_crops.csv,1,train,10.71789388115912,82.0,,,224.0
,OIL::oc-0005::oc-0005__obj_001,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0005__obj_001.png,oc,1.0,224.0,1,oc-0005,,data/metadata/dartis_positive_verifier_crops.csv,1,train,29.66135256188499,220.0,,,224.0
,OIL::oc-0006::oc-0006__obj_001,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0006__obj_001.png,oc,1.0,224.0,1,oc-0006,,data/metadata/dartis_positive_verifier_crops.csv,1,train,9.416444414926406,82.0,,,224.0
,OIL::oc-0006::oc-0006__obj_002,CONFIRMED_OIL,,,data/external/dartis/processed/verifier_positive/oc/oc-0006__obj_002.png,oc,1.0,224.0,1,oc-0006,,data/metadata/dartis_positive_verifier_crops.csv,1,train,13.975188501801416,108.0,,,224.0
