sample_id,group,split_role,image_path,water_decision,safe_water_fraction,uncertain_fraction,oil_analysis_executed,candidate_count,accepted_candidate_count,scene_false_alarm
nc-0038-00-000038,nc,train,data/external/dartis/raw/nc/nc-0038-00-000038.jpg,UNCERTAIN_BLOCK,0.01442138671875,0.05322021484375,False,0,0,False
nc-0292-04-000013,nc,train,data/external/dartis/raw/nc/nc-0292-04-000013.jpg,ACCEPT_WATER,0.6914306640625,0.041064453125,True,1,1,True
nc-0337-04-000058,nc,calibration,data/external/dartis/raw/nc/nc-0337-04-000058.jpg,UNCERTAIN_BLOCK,0.0493701171875,0.14459228515625,False,0,0,False
nc-0289-04-000010,nc,train,data/external/dartis/raw/nc/nc-0289-04-000010.jpg,ACCEPT_WATER,0.34119384765625,0.06414794921875,True,4,3,True
nc-0278-03-000043,nc,locked_test,data/external/dartis/raw/nc/nc-0278-03-000043.jpg,UNCERTAIN_BLOCK,0.00164794921875,0.05635498046875,False,0,0,False
nc-0222-02-000062,nc,calibration,data/external/dartis/raw/nc/nc-0222-02-000062.jpg,ACCEPT_WATER,0.96890625,0.0159912109375,True,0,0,False
nc-0202-02-000042,nc,train,data/external/dartis/raw/nc/nc-0202-02-000042.jpg,ACCEPT_WATER,0.970830078125,0.02914306640625,True,0,0,False
nc-0152-01-000076,nc,train,data/external/dartis/raw/nc/nc-0152-01-000076.jpg,ACCEPT_WATER,0.64014892578125,0.011279296875,True,10,10,True
nc-0184-02-000024,nc,locked_test,data/external/dartis/raw/nc/nc-0184-02-000024.jpg,ACCEPT_WATER,0.8905322265625,0.07371826171875,True,3,3,True
nc-0149-01-000073,nc,locked_test,data/external/dartis/raw/nc/nc-0149-01-000073.jpg,ACCEPT_WATER,0.750009765625,0.1305859375,True,0,0,False
nc-0268-03-000033,nc,train,data/external/dartis/raw/nc/nc-0268-03-000033.jpg,ACCEPT_WATER,0.46904296875,0.026357421875,True,3,3,True
nc-0296-04-000017,nc,train,data/external/dartis/raw/nc/nc-0296-04-000017.jpg,ACCEPT_WATER,0.857421875,0.06877685546875,True,0,0,False
nc-0333-04-000054,nc,train,data/external/dartis/raw/nc/nc-0333-04-000054.jpg,ACCEPT_WATER,0.83448974609375,0.134755859375,True,0,0,False
nc-0087-01-000011,nc,calibration,data/external/dartis/raw/nc/nc-0087-01-000011.jpg,ACCEPT_WATER,0.5736279296875,0.0873681640625,True,0,0,False
nc-0269-03-000034,nc,train,data/external/dartis/raw/nc/nc-0269-03-000034.jpg,ACCEPT_WATER,0.52037841796875,0.02217529296875,True,0,0,False
nc-0273-03-000038,nc,train,data/external/dartis/raw/nc/nc-0273-03-000038.jpg,UNCERTAIN_BLOCK,5.126953125e-05,0.09668701171875,False,0,0,False
nc-0244-03-000009,nc,train,data/external/dartis/raw/nc/nc-0244-03-000009.jpg,UNCERTAIN_BLOCK,0.01033447265625,0.2781201171875,False,0,0,False
nc-0066-00-000066,nc,locked_test,data/external/dartis/raw/nc/nc-0066-00-000066.jpg,ACCEPT_WATER,0.6100146484375,0.03546630859375,True,3,3,True
nc-0009-00-000009,nc,locked_test,data/external/dartis/raw/nc/nc-0009-00-000009.jpg,UNCERTAIN_BLOCK,0.081611328125,0.3878466796875,False,0,0,False
nc-0092-01-000016,nc,train,data/external/dartis/raw/nc/nc-0092-01-000016.jpg,ACCEPT_WATER,0.5337109375,0.15488037109375,True,4,4,True
nc-0001-00-000001,nc,train,data/external/dartis/raw/nc/nc-0001-00-000001.jpg,ACCEPT_WATER,0.78340576171875,0.0374853515625,True,0,0,False
nc-0227-02-000067,nc,train,data/external/dartis/raw/nc/nc-0227-02-000067.jpg,UNCERTAIN_BLOCK,0.00947998046875,0.15218017578125,False,0,0,False
nc-0245-03-000010,nc,train,data/external/dartis/raw/nc/nc-0245-03-000010.jpg,UNCERTAIN_BLOCK,0.00010498046875,0.196845703125,False,0,0,False
nc-0294-04-000015,nc,train,data/external/dartis/raw/nc/nc-0294-04-000015.jpg,ACCEPT_WATER,0.68629150390625,0.20115966796875,True,0,0,False
nc-0328-04-000049,nc,train,data/external/dartis/raw/nc/nc-0328-04-000049.jpg,ACCEPT_WATER,0.673779296875,0.16056396484375,True,6,6,True
nc-0342-04-000063,nc,train,data/external/dartis/raw/nc/nc-0342-04-000063.jpg,UNCERTAIN_BLOCK,0.26758056640625,0.26460205078125,False,0,0,False
nc-0016-00-000016,nc,locked_test,data/external/dartis/raw/nc/nc-0016-00-000016.jpg,ACCEPT_WATER,0.73180419921875,0.0609716796875,True,1,1,True
nc-0305-04-000026,nc,train,data/external/dartis/raw/nc/nc-0305-04-000026.jpg,UNCERTAIN_BLOCK,0.01145751953125,0.14349609375,False,0,0,False
nc-0263-03-000028,nc,train,data/external/dartis/raw/nc/nc-0263-03-000028.jpg,ACCEPT_WATER,0.2384423828125,0.14184814453125,True,0,0,False
nc-0339-04-000060,nc,calibration,data/external/dartis/raw/nc/nc-0339-04-000060.jpg,ACCEPT_WATER,0.89904541015625,0.04518798828125,True,0,0,False
nc-0017-00-000017,nc,locked_test,data/external/dartis/raw/nc/nc-0017-00-000017.jpg,ACCEPT_WATER,0.9126513671875,0.04289794921875,True,1,1,True
nc-0002-00-000002,nc,locked_test,data/external/dartis/raw/nc/nc-0002-00-000002.jpg,ACCEPT_WATER,0.587041015625,0.0614453125,True,1,0,False
nc-0288-04-000009,nc,train,data/external/dartis/raw/nc/nc-0288-04-000009.jpg,ACCEPT_WATER,0.3428466796875,0.1111328125,True,11,11,True
nc-0233-02-000073,nc,calibration,data/external/dartis/raw/nc/nc-0233-02-000073.jpg,ACCEPT_WATER,0.1283154296875,0.2191357421875,True,0,0,False
nc-0048-00-000048,nc,train,data/external/dartis/raw/nc/nc-0048-00-000048.jpg,ACCEPT_WATER,0.1715966796875,0.14947265625,True,0,0,False
nc-0106-01-000030,nc,train,data/external/dartis/raw/nc/nc-0106-01-000030.jpg,ACCEPT_WATER,0.962080078125,0.01972900390625,True,0,0,False
nc-0327-04-000048,nc,train,data/external/dartis/raw/nc/nc-0327-04-000048.jpg,UNCERTAIN_BLOCK,0.02180908203125,0.22068603515625,False,0,0,False
nc-0321-04-000042,nc,train,data/external/dartis/raw/nc/nc-0321-04-000042.jpg,ACCEPT_WATER,0.6318798828125,0.0169580078125,True,0,0,False
