subset,jpg_file,tag,patch_name,patch_width,patch_height,patch_ul_lon,patch_ul_lat,patch_ur_lon,patch_ur_lat,patch_br_lon,patch_br_lat,patch_bl_lon,patch_bl_lat,coordinate_complete,surface_context,oil_label,mapping_status,mapping_key,local_image_path
nc,nc-0001-00-000001.jpg,nc-0001-00-000001,S1_20190105_154746_154926_VV_86,640,640,32.3464949,34.6483811,32.4811935,34.6686932,32.4564022,34.7838534,32.3217036,34.7635413,True,coast,0,MATCHED,filename:nc-0001-00-000001.jpg,data/external/dartis/raw/nc/nc-0001-00-000001.jpg
nc,nc-0002-00-000002.jpg,nc-0002-00-000002,S1_20190118_035040_035219_VV_89,640,640,31.0952365,31.6225511,30.9606698,31.6428653,30.9359395,31.5276782,31.0705063,31.507364,True,coast,0,MATCHED,filename:nc-0002-00-000002.jpg,data/external/dartis/raw/nc/nc-0002-00-000002.jpg
nc,nc-0003-00-000003.jpg,nc-0003-00-000003,S1_20190119_034258_034438_VV_67,640,640,35.6363798,34.2488879,35.5008537,34.2691375,35.4759143,34.1538918,35.6114404,34.1336422,True,coast,0,MATCHED,filename:nc-0003-00-000003.jpg,data/external/dartis/raw/nc/nc-0003-00-000003.jpg
nc,nc-0004-00-000004.jpg,nc-0004-00-000004,S1_20190124_035117_035258_VV_16,640,640,31.0903939,31.6230329,30.9554623,31.6433205,30.9306249,31.5280918,31.0655565,31.5078042,True,coast,0,MATCHED,filename:nc-0004-00-000004.jpg,data/external/dartis/raw/nc/nc-0004-00-000004.jpg
nc,nc-0005-00-000005.jpg,nc-0005-00-000005,S1_20190131_034257_034437_VV_10,640,640,34.6028075,35.7523128,34.4672816,35.7725628,34.4423415,35.6573171,34.5778674,35.6370671,True,coast,0,MATCHED,filename:nc-0005-00-000005.jpg,data/external/dartis/raw/nc/nc-0005-00-000005.jpg
nc,nc-0006-00-000006.jpg,nc-0006-00-000006,S1_20190206_034234_034349_VV_2,640,640,33.729179,35.0285816,33.5942736,35.048868,33.569387,34.9337115,33.7042924,34.9134251,True,coast,0,MATCHED,filename:nc-0006-00-000006.jpg,data/external/dartis/raw/nc/nc-0006-00-000006.jpg
nc,nc-0007-00-000007.jpg,nc-0007-00-000007,S1_20190206_034234_034349_VV_31,640,640,34.8611887,32.3440181,34.7262833,32.3643045,34.7013968,32.2491481,34.8363022,32.2288617,True,coast,0,MATCHED,filename:nc-0007-00-000007.jpg,data/external/dartis/raw/nc/nc-0007-00-000007.jpg
nc,nc-0008-00-000008.jpg,nc-0008-00-000008,S1_20190210_035926_040106_VV_61,640,640,30.7905017,31.542515,30.6551786,31.5627855,30.6303317,31.4475625,30.7656549,31.4272921,True,coast,0,MATCHED,filename:nc-0008-00-000008.jpg,data/external/dartis/raw/nc/nc-0008-00-000008.jpg
nc,nc-0009-00-000009.jpg,nc-0009-00-000009,S1_20190216_035850_040029_VV_87,640,640,30.8178478,31.5530932,30.6829356,31.5733914,30.6581373,31.4582086,30.7930494,31.4379104,True,coast,0,MATCHED,filename:nc-0009-00-000009.jpg,data/external/dartis/raw/nc/nc-0009-00-000009.jpg
nc,nc-0010-00-000010.jpg,nc-0010-00-000010,S1_20190222_154745_154925_VV_230,640,640,32.4180423,34.6035453,32.5527409,34.6238584,32.5279498,34.7390186,32.3932512,34.7187055,True,coast,0,MATCHED,filename:nc-0010-00-000010.jpg,data/external/dartis/raw/nc/nc-0010-00-000010.jpg
