sample_id,subset,oil_label,surface_context,image_path,image_width,image_height,land_mask_path,safe_water_mask_path,mask_source,coast_buffer_pixels,polygon_count,land_pixels,land_ratio,safe_water_pixels,safe_water_ratio,excluded_pixels,excluded_ratio,generation_status,eligible_for_training,locked_test_used,land_ratio_for_selection,queue_index,annotation_status,manual_land_mask_path,manual_safe_water_mask_path,annotation_note,updated_at
nc:nc-0031-00-000031,nc,0,coast,data/external/dartis/raw/nc/nc-0031-00-000031.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0031-00-000031.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0031-00-000031.png,OSM_GEOGRAPHIC_MASK,8,2,42867,0.10465576171875,358452,0.875126953125,51148,0.124873046875,SUCCESS,True,False,0.10465576171875,1,PENDING,,,,
nc:nc-0043-00-000043,nc,0,coast,data/external/dartis/raw/nc/nc-0043-00-000043.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0043-00-000043.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0043-00-000043.png,OSM_GEOGRAPHIC_MASK,8,2,26666,0.0651025390625,377703,0.92212646484375,31897,0.07787353515625,SUCCESS,True,False,0.0651025390625,2,PENDING,,,,
nc:nc-0095-01-000019,nc,0,coast,data/external/dartis/raw/nc/nc-0095-01-000019.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0095-01-000019.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0095-01-000019.png,OSM_GEOGRAPHIC_MASK,8,1,35280,0.0861328125,367371,0.89690185546875,42229,0.10309814453125,SUCCESS,True,False,0.0861328125,3,PENDING,,,,
nc:nc-0155-01-000079,nc,0,coast,data/external/dartis/raw/nc/nc-0155-01-000079.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0155-01-000079.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0155-01-000079.png,OSM_GEOGRAPHIC_MASK,8,1,75059,0.18324951171875,328208,0.8012890625,81392,0.1987109375,SUCCESS,True,False,0.18324951171875,4,PENDING,,,,
nc:nc-0284-04-000005,nc,0,coast,data/external/dartis/raw/nc/nc-0284-04-000005.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0284-04-000005.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0284-04-000005.png,OSM_GEOGRAPHIC_MASK,8,3,271917,0.66385986328125,107979,0.26362060546875,301621,0.73637939453125,SUCCESS,True,False,0.66385986328125,5,PENDING,,,,
nc:nc-0287-04-000008,nc,0,coast,data/external/dartis/raw/nc/nc-0287-04-000008.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0287-04-000008.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0287-04-000008.png,OSM_GEOGRAPHIC_MASK,8,2,405594,0.9902197265625,988,0.002412109375,408612,0.997587890625,SUCCESS,True,False,0.9902197265625,6,PENDING,,,,
nc:nc-0313-04-000034,nc,0,coast,data/external/dartis/raw/nc/nc-0313-04-000034.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0313-04-000034.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0313-04-000034.png,OSM_GEOGRAPHIC_MASK,8,20,28564,0.069736328125,364040,0.88876953125,45560,0.11123046875,SUCCESS,True,False,0.069736328125,7,PENDING,,,,
nc:nc-0339-04-000060,nc,0,coast,data/external/dartis/raw/nc/nc-0339-04-000060.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0339-04-000060.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0339-04-000060.png,OSM_GEOGRAPHIC_MASK,8,1,27702,0.0676318359375,374466,0.9142236328125,35134,0.0857763671875,SUCCESS,True,False,0.0676318359375,8,PENDING,,,,
nc:nc-0172-02-000012,nc,0,coast,data/external/dartis/raw/nc/nc-0172-02-000012.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0172-02-000012.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0172-02-000012.png,OSM_GEOGRAPHIC_MASK,8,3,53122,0.1296923828125,348479,0.85077880859375,61121,0.14922119140625,SUCCESS,True,False,0.1296923828125,9,PENDING,,,,
nc:nc-0055-00-000055,nc,0,coast,data/external/dartis/raw/nc/nc-0055-00-000055.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0055-00-000055.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0055-00-000055.png,OSM_GEOGRAPHIC_MASK,8,1,110234,0.2691259765625,290841,0.71006103515625,118759,0.28993896484375,SUCCESS,True,False,0.2691259765625,10,PENDING,,,,
nc:nc-0063-00-000063,nc,0,coast,data/external/dartis/raw/nc/nc-0063-00-000063.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0063-00-000063.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0063-00-000063.png,OSM_GEOGRAPHIC_MASK,8,4,145338,0.3548291015625,254029,0.62018798828125,155571,0.37981201171875,SUCCESS,True,False,0.3548291015625,11,PENDING,,,,
nc:nc-0116-01-000040,nc,0,coast,data/external/dartis/raw/nc/nc-0116-01-000040.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0116-01-000040.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0116-01-000040.png,OSM_GEOGRAPHIC_MASK,8,2,187341,0.45737548828125,210580,0.514111328125,199020,0.485888671875,SUCCESS,True,False,0.45737548828125,12,PENDING,,,,
nc:nc-0029-00-000029,nc,0,coast,data/external/dartis/raw/nc/nc-0029-00-000029.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0029-00-000029.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0029-00-000029.png,OSM_GEOGRAPHIC_MASK,8,2,230086,0.5617333984375,166476,0.406435546875,243124,0.593564453125,SUCCESS,True,False,0.5617333984375,13,PENDING,,,,
nc:nc-0242-03-000007,nc,0,coast,data/external/dartis/raw/nc/nc-0242-03-000007.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0242-03-000007.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0242-03-000007.png,OSM_GEOGRAPHIC_MASK,8,1,255809,0.62453369140625,142600,0.34814453125,267000,0.65185546875,SUCCESS,True,False,0.62453369140625,14,PENDING,,,,
nc:nc-0129-01-000053,nc,0,coast,data/external/dartis/raw/nc/nc-0129-01-000053.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0129-01-000053.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0129-01-000053.png,OSM_GEOGRAPHIC_MASK,8,2,321498,0.7849072265625,78844,0.192490234375,330756,0.807509765625,SUCCESS,True,False,0.7849072265625,15,PENDING,,,,
nc:nc-0099-01-000023,nc,0,coast,data/external/dartis/raw/nc/nc-0099-01-000023.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0099-01-000023.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0099-01-000023.png,OSM_GEOGRAPHIC_MASK,8,1,336930,0.8225830078125,65086,0.1589013671875,344514,0.8410986328125,SUCCESS,True,False,0.8225830078125,16,PENDING,,,,
nc:nc-0293-04-000014,nc,0,coast,data/external/dartis/raw/nc/nc-0293-04-000014.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0293-04-000014.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0293-04-000014.png,OSM_GEOGRAPHIC_MASK,8,1,398453,0.97278564453125,7771,0.01897216796875,401829,0.98102783203125,SUCCESS,True,False,0.97278564453125,17,PENDING,,,,
oc:oc-0373,oc,1,coast,data/external/dartis/raw/oc/oc-0373.jpg,1170,1170,data/derived/v06_water_masks_homography/land/oc/oc-0373.png,data/derived/v06_water_masks_homography/safe_water/oc/oc-0373.png,OSM_GEOGRAPHIC_MASK,8,6,85627,0.0625516838337351,1262637,0.9223734385272848,106263,0.0776265614727153,SUCCESS,True,False,0.0625516838337351,18,PENDING,,,,
oc:oc-0295,oc,1,coast,data/external/dartis/raw/oc/oc-0295.jpg,640,640,data/derived/v06_water_masks_homography/land/oc/oc-0295.png,data/derived/v06_water_masks_homography/safe_water/oc/oc-0295.png,OSM_GEOGRAPHIC_MASK,8,1,59140,0.144384765625,344088,0.84005859375,65512,0.15994140625,SUCCESS,True,False,0.144384765625,19,PENDING,,,,
oc:oc-0196,oc,1,coast,data/external/dartis/raw/oc/oc-0196.jpg,640,640,data/derived/v06_water_masks_homography/land/oc/oc-0196.png,data/derived/v06_water_masks_homography/safe_water/oc/oc-0196.png,OSM_GEOGRAPHIC_MASK,8,7,85824,0.20953125,293251,0.71594482421875,116349,0.28405517578125,SUCCESS,True,False,0.20953125,20,PENDING,,,,
oc:oc-0244,oc,1,coast,data/external/dartis/raw/oc/oc-0244.jpg,640,640,data/derived/v06_water_masks_homography/land/oc/oc-0244.png,data/derived/v06_water_masks_homography/safe_water/oc/oc-0244.png,OSM_GEOGRAPHIC_MASK,8,1,142312,0.34744140625,257224,0.62798828125,152376,0.37201171875,SUCCESS,True,False,0.34744140625,21,PENDING,,,,
oc:oc-0361,oc,1,coast,data/external/dartis/raw/oc/oc-0361.jpg,640,640,data/derived/v06_water_masks_homography/land/oc/oc-0361.png,data/derived/v06_water_masks_homography/safe_water/oc/oc-0361.png,OSM_GEOGRAPHIC_MASK,8,17,191219,0.46684326171875,197416,0.48197265625,212184,0.51802734375,SUCCESS,True,False,0.46684326171875,22,PENDING,,,,
oc:oc-0042,oc,1,coast,data/external/dartis/raw/oc/oc-0042.jpg,640,640,data/derived/v06_water_masks_homography/land/oc/oc-0042.png,data/derived/v06_water_masks_homography/safe_water/oc/oc-0042.png,OSM_GEOGRAPHIC_MASK,8,16,218949,0.53454345703125,172251,0.42053466796875,237349,0.57946533203125,SUCCESS,True,False,0.53454345703125,23,PENDING,,,,
oc:oc-0153,oc,1,coast,data/external/dartis/raw/oc/oc-0153.jpg,640,640,data/derived/v06_water_masks_homography/land/oc/oc-0153.png,data/derived/v06_water_masks_homography/safe_water/oc/oc-0153.png,OSM_GEOGRAPHIC_MASK,8,1,259485,0.63350830078125,141614,0.3457373046875,267986,0.6542626953125,SUCCESS,True,False,0.63350830078125,24,PENDING,,,,
oc:oc-0040,oc,1,coast,data/external/dartis/raw/oc/oc-0040.jpg,640,640,data/derived/v06_water_masks_homography/land/oc/oc-0040.png,data/derived/v06_water_masks_homography/safe_water/oc/oc-0040.png,OSM_GEOGRAPHIC_MASK,8,1,290894,0.7101904296875,110296,0.26927734375,299304,0.73072265625,SUCCESS,True,False,0.7101904296875,25,PENDING,,,,
oc:oc-0062,oc,1,coast,data/external/dartis/raw/oc/oc-0062.jpg,640,640,data/derived/v06_water_masks_homography/land/oc/oc-0062.png,data/derived/v06_water_masks_homography/safe_water/oc/oc-0062.png,OSM_GEOGRAPHIC_MASK,8,1,330866,0.8077783203125,71471,0.17448974609375,338129,0.82551025390625,SUCCESS,True,False,0.8077783203125,26,PENDING,,,,
nc:nc-0222-02-000062,nc,0,coast,data/external/dartis/raw/nc/nc-0222-02-000062.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0222-02-000062.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0222-02-000062.png,OSM_GEOGRAPHIC_MASK,8,2,6604,0.016123046875,398236,0.972255859375,11364,0.027744140625,SUCCESS,True,False,0.016123046875,27,PENDING,,,,
nc:nc-0040-00-000040,nc,0,coast,data/external/dartis/raw/nc/nc-0040-00-000040.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0040-00-000040.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0040-00-000040.png,OSM_GEOGRAPHIC_MASK,8,3,79025,0.19293212890625,319903,0.78101318359375,89697,0.21898681640625,SUCCESS,True,False,0.19293212890625,28,PENDING,,,,
nc:nc-0180-02-000020,nc,0,coast,data/external/dartis/raw/nc/nc-0180-02-000020.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0180-02-000020.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0180-02-000020.png,OSM_GEOGRAPHIC_MASK,8,2,95502,0.2331591796875,304549,0.74352783203125,105051,0.25647216796875,SUCCESS,True,False,0.2331591796875,29,PENDING,,,,
