candidate_id,scene_id,group,label,class_name,split_role,crop_path,source_manifest,source_row_label,width,height,unique_values,standard_deviation
OIL::oc-0001::oc-0001__obj_001,oc-0001,oc,1,CONFIRMED_OIL,train,data/external/dartis/processed/verifier_positive/oc/oc-0001__obj_001.png,data/metadata/dartis_positive_verifier_crops.csv,1,224.0,224.0,166.0,20.973801823510744
OIL::oc-0001::oc-0001__obj_002,oc-0001,oc,1,CONFIRMED_OIL,train,data/external/dartis/processed/verifier_positive/oc/oc-0001__obj_002.png,data/metadata/dartis_positive_verifier_crops.csv,1,224.0,224.0,182.0,21.563998341740724
OIL::oc-0001::oc-0001__obj_003,oc-0001,oc,1,CONFIRMED_OIL,train,data/external/dartis/processed/verifier_positive/oc/oc-0001__obj_003.png,data/metadata/dartis_positive_verifier_crops.csv,1,224.0,224.0,194.0,25.919386300645474
OIL::oc-0001::oc-0001__obj_004,oc-0001,oc,1,CONFIRMED_OIL,train,data/external/dartis/processed/verifier_positive/oc/oc-0001__obj_004.png,data/metadata/dartis_positive_verifier_crops.csv,1,224.0,224.0,181.0,30.63654143057267
OIL::oc-0001::oc-0001__obj_005,oc-0001,oc,1,CONFIRMED_OIL,train,data/external/dartis/processed/verifier_positive/oc/oc-0001__obj_005.png,data/metadata/dartis_positive_verifier_crops.csv,1,224.0,224.0,160.0,25.769872049890896
OIL::oc-0002::oc-0002__obj_001,oc-0002,oc,1,CONFIRMED_OIL,train,data/external/dartis/processed/verifier_positive/oc/oc-0002__obj_001.png,data/metadata/dartis_positive_verifier_crops.csv,1,224.0,224.0,169.0,26.769305340959708
OIL::oc-0002::oc-0002__obj_002,oc-0002,oc,1,CONFIRMED_OIL,train,data/external/dartis/processed/verifier_positive/oc/oc-0002__obj_002.png,data/metadata/dartis_positive_verifier_crops.csv,1,224.0,224.0,170.0,24.015183657053512
OIL::oc-0003::oc-0003__obj_001,oc-0003,oc,1,CONFIRMED_OIL,train,data/external/dartis/processed/verifier_positive/oc/oc-0003__obj_001.png,data/metadata/dartis_positive_verifier_crops.csv,1,224.0,224.0,184.0,33.825906434956615
OIL::oc-0004::oc-0004__obj_001,oc-0004,oc,1,CONFIRMED_OIL,train,data/external/dartis/processed/verifier_positive/oc/oc-0004__obj_001.png,data/metadata/dartis_positive_verifier_crops.csv,1,224.0,224.0,86.0,10.881765387375411
OIL::oc-0004::oc-0004__obj_002,oc-0004,oc,1,CONFIRMED_OIL,train,data/external/dartis/processed/verifier_positive/oc/oc-0004__obj_002.png,data/metadata/dartis_positive_verifier_crops.csv,1,224.0,224.0,82.0,10.71789388115912
