sample_id,coastal_group,split,annotation_image_path,manual_mask_path,land_fraction,water_fraction,ignore_fraction
nc:nc-0076-00-000076,nc,train,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0076-00-000076.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0076-00-000076.png,0.0208053588867187,0.97894287109375,0.0002517700195312
nc:nc-0101-01-000025,nc,train,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0101-01-000025.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0101-01-000025.png,0.0459098815917968,0.9538116455078124,0.0002784729003906
nc:nc-0126-01-000050,nc,train,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0126-01-000050.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0126-01-000050.png,0.1173515319824218,0.8819694519042969,0.0006790161132812
nc:nc-0163-02-000003,nc,locked_test,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0163-02-000003.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0163-02-000003.png,0.09051513671875,0.9091720581054688,0.0003128051757812
nc:nc-0203-02-000043,nc,train,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0203-02-000043.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0203-02-000043.png,0.0277748107910156,0.9720573425292968,0.0001678466796875
nc:nc-0181-02-000021,nc,validation,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0181-02-000021.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0181-02-000021.png,0.0403709411621093,0.9595298767089844,9.918212890625e-05
nc:nc-0100-01-000024,nc,train,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0100-01-000024.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0100-01-000024.png,0.1810455322265625,0.8187026977539062,0.0002517700195312
nc:nc-0184-02-000024,nc,train,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0184-02-000024.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0184-02-000024.png,0.0337066650390625,0.9661216735839844,0.0001716613769531
nc:nc-0139-01-000063,nc,train,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0139-01-000063.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0139-01-000063.png,0.10845947265625,0.8914070129394531,0.0001335144042968
nc:nc-0052-00-000052,nc,locked_test,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0052-00-000052.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0052-00-000052.png,0.6745491027832031,0.3249015808105469,0.00054931640625
nc:nc-0032-00-000032,nc,locked_test,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0032-00-000032.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0032-00-000032.png,0.2091560363769531,0.7905731201171875,0.0002708435058593
nc:nc-0272-03-000037,nc,validation,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0272-03-000037.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0272-03-000037.png,0.7537574768066406,0.2460670471191406,0.0001754760742187
nc:nc-0215-02-000055,nc,train,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0215-02-000055.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0215-02-000055.png,0.010772705078125,0.9890708923339844,0.0001564025878906
nc:nc-0194-02-000034,nc,train,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0194-02-000034.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0194-02-000034.png,6.4849853515625e-05,0.999919891357422,1.52587890625e-05
nc:nc-0266-03-000031,nc,train,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0266-03-000031.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0266-03-000031.png,0.0567550659179687,0.9432449340820312,0.0
nc:nc-0127-01-000051,nc,locked_test,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0127-01-000051.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0127-01-000051.png,0.0553054809570312,0.9446945190429688,0.0
oc:oc-0189,oc,train,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0189.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0189.png,0.0492935180664062,0.95050048828125,0.0002059936523437
oc:oc-0219,oc,train,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0219.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0219.png,0.0397567749023437,0.960235595703125,7.62939453125e-06
oc:oc-0264,oc,train,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0264.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0264.png,0.0713272094726562,0.9286537170410156,1.9073486328125e-05
oc:oc-0296,oc,locked_test,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0296.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0296.png,0.1812553405761718,0.8186416625976562,0.0001029968261718
oc:oc-0135,oc,validation,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0135.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0135.png,0.0535736083984375,0.9463729858398438,5.340576171875e-05
oc:oc-0127,oc,train,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0127.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0127.png,0.1029510498046875,0.8970489501953125,0.0
oc:oc-0080,oc,train,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0080.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0080.png,0.0309410095214843,0.9688835144042968,0.0001754760742187
oc:oc-0108,oc,train,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0108.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0108.png,0.0145606994628906,0.9849205017089844,0.000518798828125
oc:oc-0085,oc,train,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0085.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0085.png,0.0385246276855468,0.9612960815429688,0.0001792907714843
oc:oc-0373,oc,locked_test,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0373.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0373.png,0.0686759948730468,0.9312210083007812,0.0001029968261718
oc:oc-0250,oc,train,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0250.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0250.png,0.270721435546875,0.729095458984375,0.00018310546875
oc:oc-0194,oc,validation,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0194.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0194.png,0.8328781127929688,0.1666641235351562,0.000457763671875
oc:oc-0348,oc,locked_test,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0348.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0348.png,0.0333175659179687,0.9665374755859376,0.0001449584960937
oc:oc-0333,oc,train,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0333.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0333.png,8.7738037109375e-05,0.9999046325683594,7.62939453125e-06
oc:oc-0321,oc,locked_test,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0321.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0321.png,0.0146484375,0.9851913452148438,0.0001602172851562
oc:oc-0088,oc,train,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0088.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0088.png,0.0503921508789062,0.9496078491210938,0.0
